Date,Average Score,7 MA
2015-07-06,0.822,
2015-07-08,0.999,
2015-07-16,0.999,
2015-07-20,0.999,
2015-07-21,0.96,
2015-08-24,0.996,
2015-08-27,0.995,0.967
2015-08-31,0.996,0.992
2015-09-03,0.998,0.992
2015-09-08,0.996,0.991
2015-09-09,0.997,0.991
2015-09-16,0.998,0.997
2015-09-17,0.998,0.997
2015-09-29,0.997,0.997
2015-10-01,0.997,0.997
2015-10-05,0.996,0.997
2015-10-08,0.979,0.995
2015-10-15,0.999,0.995
2015-10-20,0.965,0.99
2015-10-21,1.0,0.99
2015-11-11,0.997,0.99
2015-11-12,0.968,0.986
2015-11-16,0.998,0.987
2015-11-24,0.984,0.987
2015-11-30,0.991,0.986
2015-12-01,0.996,0.991
2015-12-09,0.996,0.99
2016-01-04,0.989,0.989
2016-01-12,0.986,0.991
2016-01-14,0.999,0.992
2016-01-19,0.998,0.994
2016-01-20,0.998,0.995
2016-02-01,1.0,0.995
2016-02-02,0.999,0.996
2016-02-10,0.998,0.997
2016-02-11,0.96,0.993
2016-02-17,0.996,0.993
2016-02-23,0.999,0.993
2016-03-01,0.998,0.993
2016-03-02,0.998,0.993
2016-03-07,0.974,0.989
2016-03-10,0.999,0.989
2016-03-14,0.999,0.995
2016-03-15,0.998,0.995
2016-03-23,0.998,0.995
2016-03-29,0.999,0.995
2016-03-31,0.999,0.995
2016-04-05,0.993,0.998
2016-04-07,0.979,0.995
2016-04-12,0.98,0.992
2016-04-14,0.998,0.992
2016-04-21,0.999,0.992
2016-04-29,0.988,0.991
2016-05-11,0.963,0.986
2016-05-12,0.989,0.985
2016-05-19,0.974,0.984
2016-05-25,0.999,0.987
2016-06-01,0.996,0.987
2016-06-13,0.996,0.986
2016-06-14,0.995,0.987
2016-06-21,0.999,0.993
2016-06-29,0.99,0.993
2016-07-07,0.979,0.993
2016-07-13,0.992,0.992
2016-07-21,0.999,0.993
2016-07-25,0.993,0.992
2016-07-26,0.997,0.993
2016-08-04,0.998,0.993
2016-08-08,0.999,0.994
2016-08-12,0.995,0.996
2016-08-18,0.993,0.996
2016-08-29,0.997,0.996
2016-08-31,0.993,0.996
2016-09-05,0.997,0.996
2016-09-06,0.998,0.996
2016-09-07,0.98,0.993
2016-09-09,0.999,0.994
2016-09-10,0.998,0.995
2016-09-13,0.996,0.994
2016-09-23,0.999,0.995
2016-09-27,0.998,0.995
2016-10-03,0.999,0.996
2016-10-06,0.979,0.995
2016-10-07,0.996,0.995
2016-10-14,0.994,0.994
2016-10-20,1.0,0.995
2016-10-24,0.999,0.995
2016-10-25,0.997,0.995
2016-10-27,0.997,0.995
2016-11-07,0.999,0.997
2016-11-14,0.999,0.998
2016-11-15,0.986,0.997
2016-11-17,0.965,0.992
2016-11-30,0.982,0.989
2016-12-05,0.998,0.989
2016-12-08,1.0,0.99
