Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
14/07/2015,45.45,45.96,45.31,45.62,22865770,0.998,,,
28/07/2015,45.58,45.639,44.79,45.34,34309080,0.999,,,
03/08/2015,46.98,47,46.45,46.81,23919340,0.999,,,
12/08/2015,46.19,46.9,45.705,46.74,30184710,0.992,,,
31/08/2015,43.56,43.93,43.1,43.52,34434480,0.997,,,
30/09/2015,43.88,44.3,43.66,44.26,34944070,0.997,0.996,,
05/10/2015,45.745,46.89,45.7,46.63,33546080,0.996,0.996,,
13/10/2015,46.56,47.1299,46.56,46.89,19985330,1,0.996,,
14/10/2015,46.65,47.1,46.53,46.68,24693460,-0.002,0.853,,
15/10/2015,47.01,47.03,46.53,47.01,27155510,0.998,0.854,,
03/11/2015,52.93,54.39,52.9,54.15,36584100,0.999,0.855,,
12/11/2015,53.48,53.9791,53.19,53.32,35304350,0.996,0.855,,
20/11/2015,54.25,54.3,53.265,54.19,37106670,0.999,0.855,,
30/11/2015,54.54,54.96,53.9999,54.35,54403560,0.999,0.856,,
10/12/2015,55.39,55.655,55.01,55.27,31771820,0.997,0.855,,
31/12/2015,56.04,56.19,55.42,55.48,27329930,0.995,0.998,,
12/01/2016,52.76,53.1,52.06,52.78,36061760,0.987,0.996,,
25/01/2016,51.94,52.65,51.65,51.79,34654900,0.992,0.995,,
03/02/2016,53.25,53.39,51.26,52.16,57526850,0.987,0.994,,
10/02/2016,49.89,50.39,49.52,49.71,38220450,0.997,0.993,0.9461,
07/03/2016,51.56,51.8,50.58,51.03,38426220,0.993,0.993,0.94585,
08/03/2016,50.8,52.13,50.595,51.65,33822940,0.992,0.992,0.9455,
16/03/2016,53.45,54.6,53.4,54.35,31679130,0.999,0.994,0.9455,
24/03/2016,53.84,54.33,53.73,54.21,18967510,0.987,0.993,0.94525,
29/03/2016,53.66,54.86,53.45,54.71,23913950,0.998,0.995,0.9453,
04/04/2016,55.43,55.66,55,55.43,18908300,0.999,0.995,0.9454,
11/05/2016,51.13,51.78,51,51.05,24026140,0.999,0.995,0.94555,
08/06/2016,52.02,52.44,51.87,52.04,21127190,0.993,0.995,0.9452,
15/06/2016,49.78,50.12,49.69,49.69,33718830,0.998,0.996,0.9952,
20/06/2016,50.64,50.83,50.03,50.07,35597220,0.996,0.996,0.9951,
25/07/2016,56.47,56.74,56.255,56.73,24313330,0.998,0.997,0.99505,
23/08/2016,57.9,58.18,57.85,57.89,18722560,0.996,0.997,0.99505,
07/09/2016,57.47,57.84,57.405,57.66,17484810,0.999,0.997,0.99505,
19/09/2016,57.27,57.75,56.85,56.93,20919450,0.999,0.997,0.99505,
23/09/2016,57.87,57.91,57.38,57.43,19941140,0.999,0.998,0.99515,
27/09/2016,56.93,58.06,56.681,57.95,28029780,0.995,0.997,0.99515,
24/10/2016,59.94,61,59.93,61,54039610,0.996,0.997,0.9956,
03/11/2016,59.53,59.64,59.11,59.21,21448620,0.98,0.995,0.995,
19/01/2017,62.24,62.98,62.195,62.3,18438530,0.999,0.995,0.9956,
23/03/2017,64.94,65.235,64.765,64.87,19267040,0.994,0.995,0.99545,
04/04/2017,65.39,65.81,65.28,65.73,12988620,0.996,0.994,0.9956,
17/08/2017,73.58,73.87,72.4,72.4,22450130,0.991,0.993,0.99555,
19/09/2017,75.21,75.71,75.01,75.44,15769510,0.997,0.993,0.99545,
05/10/2017,75.22,76.12,74.96,75.97,21176990,0.997,0.993,0.99595,
23/10/2017,78.99,79.34,78.76,78.83,20609800,0.998,0.996,0.99595,
01/11/2017,83.68,83.76,82.88,83.18,22278730,0.997,0.996,0.99585,
13/11/2017,83.66,83.94,83.46,83.93,14185670,0.998,0.996,0.9958,
29/11/2017,84.71,84.9172,83.175,83.34,27358660,0.996,0.996,0.99595,
05/02/2018,90.56,93.24,88,88,50588980,0.998,0.997,0.99595,
08/02/2018,89.71,89.875,84.76,85.01,55247060,0.996,0.997,0.99595,0.9759
05/03/2018,92.34,94.27,92.26,93.64,23787950,0.994,0.997,0.99575,0.97582
16/03/2018,94.68,95.38,93.92,94.6,49067150,0.991,0.996,0.9955,0.97566
19/03/2018,93.74,93.9,92.11,92.89,32317260,0.996,0.996,0.99535,0.9756
16/04/2018,94.07,94.66,93.42,94.17,20278000,0.993,0.995,0.99505,0.97562
17/04/2018,95,96.54,94.88,96.07,25700050,0.996,0.995,0.9949,0.9756
03/05/2018,92.96,94.925,92.45,94.07,31071660,0.999,0.995,0.9951,0.97564
24/05/2018,98.725,98.94,96.81,98.31,26637580,0.997,0.995,0.99515,0.97566
14/06/2018,101.65,102.03,101,101.42,25405900,0.995,0.995,0.9959,0.97556
21/08/2018,106.92,107.35,105.85,105.98,22825830,0.999,0.996,0.9959,0.99558
25/09/2018,114.8,115.1,113.75,114.45,20782110,0.897,0.982,0.99105,0.99356
29/10/2018,108.105,108.7,101.63,103.85,55101300,0.995,0.983,0.991,0.99348
06/12/2018,105.82,109.24,105,109.19,47866160,0.997,0.983,0.9913,0.9935
17/01/2019,105,106.625,104.76,106.12,27151570,0.962,0.977,0.98955,0.99276
12/02/2019,106.14,107.14,105.48,106.89,25018670,0.994,0.977,0.9894,0.99266
27/02/2019,111.69,112.36,110.88,112.17,21471170,0.999,0.977,0.98945,0.9927
07/03/2019,111.4,111.55,109.865,110.39,25320540,0.997,0.992,0.98945,0.99274
09/04/2019,118.63,119.54,118.58,119.28,17275470,1,0.992,0.98955,0.993
16/04/2019,121.64,121.65,120.1,120.77,14054870,0.995,0.992,0.9895,0.99306
05/06/2019,124.95,125.87,124.21,125.83,24926140,0.992,0.996,0.9892,0.99316
23/03/2020,137.01,140.57,132.52,135.98,78975180,0.994,0.996,0.9891,0.9931
30/03/2020,152.44,160.6,150.01,160.23,63420330,0.992,0.996,0.989,0.99308
15/04/2020,171.2,173.57,169.24,171.88,40940830,0.998,0.995,0.98935,0.9932
22/04/2020,171.39,174,170.82,173.52,34651600,0.983,0.993,0.9887,0.99288
23/04/2020,174.11,175.06,170.91,171.42,32790800,-0.704,0.75,0.90385,0.95906
24/04/2020,172.06,174.56,170.71,174.55,34305320,0.997,0.751,0.9039,0.95904
27/04/2020,176.59,176.9,173.3,174.05,33194380,0.856,0.731,0.89675,0.95618
28/04/2020,175.59,175.67,169.39,169.81,34392690,0.671,0.685,0.88045,0.94962
01/05/2020,175.8,178.64,174.01,174.57,39370470,0.998,0.686,0.8806,0.94972
12/05/2020,186.8,187.04,182.3,182.51,32038200,0.997,0.685,0.8805,0.9497
14/05/2020,177.54,180.69,175.68,180.53,41873910,0.995,0.687,0.8854,0.94968
19/05/2020,185.03,186.6,183.49,183.63,26799120,0.998,0.93,0.88555,0.94968
27/05/2020,180.2,181.9877,176.6,181.81,39517150,0.993,0.93,0.88535,0.94962
03/06/2020,184.815,185.94,183.58,185.36,27311020,0.995,0.95,0.887,0.94954
05/06/2020,182.62,187.73,182.01,187.2,39893640,0.974,0.993,0.886,0.94904
09/06/2020,188,190.7,187.2605,189.8,29783920,0.5,0.922,0.86105,0.93906
15/06/2020,184.58,190.82,184.01,188.94,32770190,0.967,0.917,0.85955,0.9385
18/06/2020,194,196.49,194,196.32,23061650,0.982,0.916,0.85865,0.93822
19/06/2020,198.59,199.29,194.37,195.15,44441140,0.997,0.915,0.85875,0.93856
29/06/2020,195.78,198.53,193.55,198.44,26701590,-0.1,0.76,0.80415,0.91658
02/07/2020,205.68,208.02,205,206.26,29315760,0.999,0.764,0.8044,0.91668
16/07/2020,205.4,205.7,202.31,203.92,29940650,0.671,0.788,0.78835,0.91018
03/08/2020,211.52,217.64,210.44,216.54,78983010,0.852,0.772,0.78105,0.9074
04/08/2020,214.17,214.77,210.31,213.29,49280060,0.98,0.771,0.7809,0.90706
07/08/2020,214.85,215.7,210.93,212.48,27820420,0.989,0.77,0.86555,0.9069
13/08/2020,209.44,211.35,208.15,208.7,22588870,0.982,0.768,0.8648,0.90658
18/08/2020,210.53,212.36,209.21,211.49,21336170,0.997,0.924,0.87185,0.90658
21/08/2020,213.86,216.25,212.85,213.02,36249320,0.999,0.924,0.88825,0.9066
24/08/2020,214.79,215.52,212.43,213.69,25460150,0.992,0.97,0.88795,0.90652
25/08/2020,213.1,216.61,213.1,216.47,23043700,0.979,0.988,0.88705,0.90614
28/08/2020,228.18,230.644,226.58,228.91,26292900,1,0.991,0.8873,0.90622
01/09/2020,225.51,227.45,224.43,227.27,25791240,0.976,0.989,0.8862,0.90586
02/09/2020,227.97,232.86,227.35,231.65,34080840,0.922,0.981,0.88265,0.90448
03/09/2020,229.27,229.31,214.9602,217.3,58400290,0.125,0.856,0.83915,0.88706
04/09/2020,215.1,218.3599,205.19,214.25,59664070,0.418,0.773,0.81135,0.87556
08/09/2020,206.5,210.03,202.2,202.66,52924330,0.649,0.724,0.8188,0.86862
09/09/2020,207.6,214.8399,206.7,211.29,45678990,0.997,0.727,0.8203,0.86858
10/09/2020,213.4,214.74,204.11,205.37,35461510,0.982,0.724,0.8203,0.86828
15/09/2020,208.42,209.78,206.93,208.78,21823940,0.993,0.727,0.8201,0.86824
16/09/2020,210.62,210.65,204.64,205.05,26372460,0.975,0.734,0.87385,0.86776
17/09/2020,200.05,204.33,199.96,202.91,34011260,0.949,0.852,0.87135,0.8688
24/09/2020,199.85,205.57,199.2,203.19,31202490,-0.153,0.77,0.83015,0.84584
28/09/2020,210.88,212.57,208.06,209.44,32004940,0.996,0.82,0.83735,0.84582
29/09/2020,209.35,210.07,206.81,207.26,24464470,0.995,0.82,0.8381,0.84648
01/10/2020,213.49,213.99,211.32,212.46,27158420,0.234,0.713,0.80035,0.83128
07/10/2020,207.06,210.11,206.72,209.83,25681050,0.911,0.701,0.7968,0.82952
