Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
29/09/2015,99.63,100.63,96.85,98.35,17392530,0.993,,,
01/03/2017,142.84,143.26,142.1,142.65,4167969,0.981,,,
02/03/2017,142.15,142.7,139.09,139.53,6114580,0.543,,,
06/03/2017,141,142.84,140.54,141.94,7111248,-0.784,,,
14/03/2017,142.95,143.31,141.7,143.19,4656787,0.778,,,
22/03/2017,142.545,143.8,140.76,142.65,6474086,0.543,0.55,,
24/03/2017,142.36,142.8,141.58,142.02,3545875,-0.626,0.319,,
03/04/2017,146.7,148.005,145.74,146.92,4604731,0.778,0.29,,
13/04/2017,144.25,144.55,142.76,142.92,3676127,0.46,0.278,,
24/04/2017,143.61,144.5,143.4,143.83,4792932,0.543,0.249,,
27/04/2017,150.6,153.49,149.3,153.08,7706060,-0.083,0.16,,
11/10/2017,195.57,196.2199,193.81,194.95,6438060,0.997,0.392,,
28/11/2017,195.34,199.68,194.01,199.18,6975416,0.998,0.423,,
02/02/2018,263,270.62,262.71,267.43,9030600,0.996,0.5,,
16/03/2018,321.42,324.11,318.37,318.45,7315268,0.991,0.756,,
17/04/2018,329.66,338.62,323.77,336.06,33811180,0.995,0.777,,
14/06/2018,384.27,395.03,383.25,392.87,14549540,0.995,0.841,,
12/07/2018,415.155,416.79,407.8,413.5,12703940,0.973,0.992,,
22/10/2018,333.1,335.8,320.34,329.54,17081350,0.995,0.992,,
29/11/2018,282.32,290.49,275.5,288.75,15016520,0.997,0.992,0.65315,
21/02/2019,360.03,362.85,353.88,356.97,6217185,0.997,0.992,0.65335,
07/03/2019,360.16,362.86,350.5,352.6,6144401,0.997,0.993,0.65415,
08/05/2019,367.92,369,361.36,364.37,6571957,0.997,0.993,0.67685,
24/07/2019,310.51,319.99,307.25,317.94,11961820,-0.883,0.725,0.6719,
26/07/2019,328.79,336,327.5,335.78,10847500,0.974,0.725,0.6817,
29/07/2019,335.98,336.4,328.77,332.7,5782817,-0.883,0.457,0.6104,
01/08/2019,324.25,328.58,318.735,319.5,6563156,-0.073,0.304,0.63805,
02/08/2019,317.49,319.41,311.8,318.83,6280343,0.705,0.262,0.6344,
05/08/2019,310.96,313.4179,304.677,307.63,8692485,-0.883,-0.007,0.56725,
06/08/2019,310.58,311.88,305.3,310.1,6179090,0.069,-0.139,0.54355,
07/08/2019,302.56,305,296.8126,304.29,9322433,0,-0.013,0.5477,
09/08/2019,313.74,316.64,305.68,308.93,5349059,-0.02,-0.155,0.49685,
12/08/2019,305.46,312.89,303.24,310.83,6531722,0.033,-0.024,0.4486,
16/08/2019,298.86,303.55,296.27,302.8,7090757,-0.973,-0.153,0.35015,
19/08/2019,306.25,311.75,304.75,309.38,4951733,-0.883,-0.38,0.25645,
20/08/2019,304.57,305,297.6811,298.99,7352162,0.642,-0.162,0.2388,
21/08/2019,301.61,302.88,296.2,297.81,5689746,0.974,-0.032,0.23775,
23/08/2019,295,299.01,290.32,291.44,6331189,-0.973,-0.171,0.14045,
26/08/2019,295.24,296.95,292.5,294.98,4696982,-0.883,-0.295,0.04655,
27/08/2019,294.54,296.77,287.1968,291.03,6314559,0.937,-0.166,0.04355,
28/08/2019,289.47,292.82,287.75,291.77,3958043,0.494,0.044,0.0184,
30/08/2019,298.78,298.94,290.85,293.75,4447990,0.004,0.171,-0.03125,
04/09/2019,291.25,292.38,286.51,291.52,4653665,-0.01,0.087,-0.0816,
05/09/2019,285.32,293.97,282.785,293.25,8972356,0.66,0.307,-0.00445,
09/09/2019,294.81,301.55,290.6,294.34,8232744,-0.504,0.162,-0.07835,
10/09/2019,291.16,297.17,282.6629,287.99,12320250,0.974,0.301,0.0145,
12/09/2019,288.1,292.73,286.6,288.86,5010927,0.941,0.3,0.0652,
13/09/2019,290.61,296.62,290.04,294.15,6583124,-0.957,0.289,-0.0179,
17/09/2019,294.5,299.15,291.79,298.6,4817119,0.884,0.197,0.07045,
20/09/2019,280.26,282.5,266,270.75,23954190,-0.883,-0.061,0.02285,0.31074
27/03/2020,359.09,368.56,353,357.12,7948775,0.999,0.154,0.0728,0.31086
15/04/2020,413,434.98,412.25,426.75,13561220,0.997,0.157,0.12365,0.31118
21/04/2020,444.77,447,425.6,433.83,23177550,0.918,0.154,0.1679,0.31868
22/04/2020,429.725,433,413,421.42,21123770,0.635,0.381,0.2483,0.34706
23/04/2020,419.26,438.413,419.26,426.7,13952330,0.666,0.602,0.32575,0.34482
24/04/2020,425,427.17,415.88,424.99,8670362,0.603,0.562,0.3238,0.34602
27/04/2020,425,429,420.84,421.38,6277480,0.865,0.805,0.31835,0.37584
28/04/2020,419.99,421,402.9101,403.83,10101230,0.986,0.804,0.4163,0.38
29/04/2020,399.53,415.86,393.6,411.89,9693137,0.998,0.815,0.51035,0.39076
30/04/2020,410.31,424.44,408,419.85,7953975,0.994,0.867,0.5132,0.39978
06/05/2020,429.3,439.77,426.385,434.26,6660737,0.991,0.913,0.53805,0.42126
07/05/2020,436.89,438.88,430.66,436.53,5650281,1,0.97,0.58785,0.42132
13/05/2020,435.69,447,427.27,438.27,7014563,0.949,0.969,0.6358,0.42034
21/05/2020,448.56,448.96,430.25,436.25,9117325,0.995,0.988,0.65255,0.42032
22/05/2020,437,439.09,427.18,429.32,5422334,0.999,0.989,0.7277,0.42048
10/06/2020,436,439.69,430.55,434.48,4896893,0.926,0.979,0.7253,0.4191
11/06/2020,428.2,445.57,424.1601,425.56,7462868,0.771,0.947,0.7168,0.41462
16/06/2020,425.76,437.96,425.18,436.13,5514016,0.9,0.934,0.80965,0.41316
26/06/2020,466.39,468.03,442.24,443.4,6804726,0.997,0.934,0.8153,0.4132
29/06/2020,445.23,447.67,432.14,447.24,4843978,0.918,0.929,0.90535,0.41162
02/07/2020,485.64,492.28,475.5258,476.89,6351485,0.999,0.93,0.90535,0.41166
07/07/2020,497.311,504.82,490.83,493.16,5669870,0.836,0.907,0.8973,0.40844
14/07/2020,517.08,525.5,490.49,524.88,15083300,0.995,0.917,0.90115,0.4084
15/07/2020,516.3,529,510.18,523.26,10066650,0.984,0.947,0.9186,0.44574
04/08/2020,498.65,510.4436,498.65,509.64,5607968,0.974,0.958,0.934,0.44574
18/08/2020,484.35,495.3,482.8,491.87,3505518,-0.599,0.73,0.8739,0.45142
25/08/2020,488.19,492.47,485.09,490.58,5727721,0.991,0.74,0.8802,0.4727
31/08/2020,521.16,531.99,517.58,529.56,4941409,0.997,0.74,0.88075,0.47854
