Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
09/03/2017,41.8,42.1,41.7105,41.934,25227860,0.997,,,
01/12/2017,50.79,51.1245,50.101,50.5085,38179240,0.994,,,
20/12/2017,53.589,53.669,53.076,53.2475,25365700,0.995,,,
21/12/2017,53.2475,53.4665,53.0897,53.1815,19730960,0.557,,,
15/02/2018,53.9535,54.574,53.217,54.476,35711040,0.994,,,
26/04/2018,51.4755,52.399,50.9095,52.002,39688960,0.995,,,
03/08/2018,61.481,61.5,60.753,61.1855,21450480,0.995,0.932,,
25/09/2018,58.8075,59.344,58.4,59.2325,18751540,0.983,0.93,,
10/10/2018,56.554,56.6085,54.0565,54.061,51499700,0.997,0.931,,
05/11/2018,52.75,52.9235,51.062,52.0045,48734840,0.999,0.931,,
04/12/2018,55.156,55.221,52.499,52.541,45564000,0.992,0.994,,
14/01/2019,52.346,52.5765,52.0628,52.2345,22548340,0.995,0.993,,
03/05/2019,58.6825,59.34,58.45,59.27,39613060,0.996,0.993,,
25/03/2020,56.3235,57.445,54.3005,55.1245,81630560,0.996,0.995,,
30/03/2020,56.252,57.5815,54.824,57.341,51481220,0.992,0.994,,
03/04/2020,55.9508,56.177,53.9905,54.894,46268000,0.959,0.988,,
22/04/2020,62.277,64.2807,62.1,63.1605,41862800,0.37,0.9,,
24/04/2020,63.0585,64.02,62.4725,63.9655,32807880,0.732,0.863,,
27/04/2020,64.8,64.8075,63.45,63.794,32011260,0.809,0.837,,
28/04/2020,64.3965,64.4025,61.61,61.6835,59026180,0.98,0.834,0.91635,
29/04/2020,67.073,67.9995,66.267,67.074,75872480,0.997,0.835,0.91635,
30/04/2020,66.244,67.641,66.1245,67.433,53378120,0.994,0.84,0.91635,
05/05/2020,66.896,68.697,66.873,67.5555,33030660,0.982,0.928,0.9157,
06/05/2020,68.0845,68.556,67.3645,67.365,24308460,0.997,0.965,0.9377,
07/05/2020,68.297,68.88,67.7635,68.628,27995180,1,0.966,0.938,
12/05/2020,70.356,70.75,68.7385,68.787,27812000,0.997,0.995,0.9381,
13/05/2020,68.8525,69.2741,66.42,67.4665,36251700,0.308,0.896,0.90375,
14/05/2020,66.751,67.871,66.1955,67.8065,32061540,0.994,0.896,0.9043,
18/05/2020,68.0875,69.6163,67.7125,69.197,36479280,0.998,0.868,0.90435,
19/05/2020,69.3499,69.6,68.6743,68.6743,25612980,0.998,0.868,0.9043,
28/05/2020,69.843,72.042,69.8,70.8365,33879520,1,0.963,0.9047,
01/06/2020,70.9195,71.898,70.9,71.591,24342800,-0.882,0.695,0.81085,
05/06/2020,70.6585,72.2525,70.3,71.9195,34704880,0.974,0.722,0.80975,
10/06/2020,72.977,73.713,72.8135,73.2925,30503060,0.996,0.72,0.80975,
26/06/2020,71.5695,71.6725,67.5995,67.995,85353960,0.997,0.722,0.81,
30/06/2020,69.522,70.9325,69.198,70.6805,40847620,1,0.725,0.81205,
02/07/2020,72.347,74.1475,72.321,73.235,37189600,0.999,0.993,0.8435,
07/07/2020,74.5,75.84,74.1775,74.259,29163440,0.925,0.986,0.85315,
10/07/2020,75.3075,77.1915,74.827,77.087,37134080,0.993,0.987,0.86235,
14/07/2020,74.5155,76.1475,74.175,76.029,31700320,0.992,0.987,0.86295,
15/07/2020,76.1565,76.7665,74.9,75.682,32213680,0.999,0.987,0.86305,
16/07/2020,75,75.9345,74.3155,75.9,30386900,0.996,0.986,0.86315,
23/07/2020,78.3485,78.5935,75.3696,75.784,32552680,-0.805,0.728,0.7738,
28/07/2020,76.259,76.324,74.883,75.017,34043480,0.99,0.727,0.77345,
29/07/2020,75.316,76.5626,75.0665,76.101,22130680,0.983,0.735,0.7726,
