Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
19/02/2016,21.86,22.03,21.81,21.87,141496692,0.994,,,
05/10/2017,36.14,36.44,36.11,36.42,85135076,0.997,,,
27/11/2017,41.18,41.19,40.78,40.95,82867208,0.997,,,
30/11/2017,40.09,40.5,39.63,40.43,166108872,0.989,,,
31/01/2018,39.26,39.63,39.17,39.39,129915720,0.995,,,
16/03/2018,42.2,42.31,41.95,42.05,157618752,0.991,,,
27/03/2018,41.02,41.37,39.43,39.76,163690316,-0.244,0.817,,
16/04/2018,41.34,41.62,41.29,41.53,86313680,0.997,0.817,,
22/06/2018,44.13,44.14,43.79,43.85,108801788,-0.807,0.56,,
23/10/2018,51.36,53.12,51.09,53,155071384,0.995,0.559,,
30/11/2018,43.05,43.06,42.27,42.64,158126196,0.998,0.561,,
03/01/2019,34.38,34.79,33.91,33.95,365248780,0.98,0.559,,
22/02/2019,41.14,41.49,41.1,41.48,75652616,0.997,0.559,,
01/04/2019,45.96,45.96,45.17,45.86,111447856,0.994,0.736,,
16/04/2019,47.83,48.29,47.61,47.78,102785540,0.906,0.723,,
18/04/2019,48.71,48.96,48.56,48.89,96783064,-0.949,0.703,,
22/04/2019,48.64,49.14,48.52,49.05,77758180,-0.924,0.429,,
25/04/2019,49.6,49.82,49.19,49.23,74172824,0.754,0.394,,
29/04/2019,49.01,49.39,48.89,49.07,88818864,-0.987,0.113,,
01/05/2019,50.33,51.63,50.17,50.48,259309312,0.362,0.022,0.50175,
07/05/2019,49.37,49.74,48.16,48.65,155054792,0.906,0.01,0.49735,
10/05/2019,47.53,47.87,46.41,47.47,164834848,-0.987,-0.261,0.39815,
13/05/2019,45.19,45.61,44.02,44.71,229722492,0.906,0.004,0.3936,
14/05/2019,44.88,45.67,44.63,45.42,146118708,-0.924,0.004,0.29795,
15/05/2019,44.84,46.16,44.78,45.96,106178872,0.036,-0.098,0.25,
16/05/2019,45.72,46.33,45.46,45.76,132125456,-0.985,-0.098,0.1512,
17/05/2019,45,45.96,44.96,45.5,131516360,-0.422,-0.21,0.1423,
20/05/2019,44.18,44.38,43.4,44.08,154449160,-0.924,-0.471,0.04625,
21/05/2019,44.59,45.26,44.46,44.92,113459392,0.906,-0.201,0.1319,
22/05/2019,44.45,44.71,43.95,44,118994224,0.863,-0.207,0.1253,
