Date,Close,Volume,Open,High,Low
09/03/2017,41.934,25227860,41.8,42.1,41.7105
01/12/2017,50.5085,38179240,50.79,51.1245,50.101
20/12/2017,53.2475,25365700,53.589,53.669,53.076
21/12/2017,53.1815,19730960,53.2475,53.4665,53.0897
15/02/2018,54.476,35711040,53.9535,54.574,53.217
26/04/2018,52.002,39688960,51.4755,52.399,50.9095
03/08/2018,61.1855,21450480,61.481,61.5,60.753
25/09/2018,59.2325,18751540,58.8075,59.344,58.4
10/10/2018,54.061,51499700,56.554,56.6085,54.0565
05/11/2018,52.0045,48734840,52.75,52.9235,51.062
04/12/2018,52.541,45564000,55.156,55.221,52.499
14/01/2019,52.2345,22548340,52.346,52.5765,52.0628
03/05/2019,59.27,39613060,58.6825,59.34,58.45
25/03/2020,55.1245,81630560,56.3235,57.445,54.3005
30/03/2020,57.341,51481220,56.252,57.5815,54.824
03/04/2020,54.894,46268000,55.9508,56.177,53.9905
22/04/2020,63.1605,41862800,62.277,64.2807,62.1
24/04/2020,63.9655,32807880,63.0585,64.02,62.4725
27/04/2020,63.794,32011260,64.8,64.8075,63.45
28/04/2020,61.6835,59026180,64.3965,64.4025,61.61
29/04/2020,67.074,75872480,67.073,67.9995,66.267
30/04/2020,67.433,53378120,66.244,67.641,66.1245
05/05/2020,67.5555,33030660,66.896,68.697,66.873
06/05/2020,67.365,24308460,68.0845,68.556,67.3645
07/05/2020,68.628,27995180,68.297,68.88,67.7635
12/05/2020,68.787,27812000,70.356,70.75,68.7385
13/05/2020,67.4665,36251700,68.8525,69.2741,66.42
14/05/2020,67.8065,32061540,66.751,67.871,66.1955
18/05/2020,69.197,36479280,68.0875,69.6163,67.7125
19/05/2020,68.6743,25612980,69.3499,69.6,68.6743
28/05/2020,70.8365,33879520,69.843,72.042,69.8
01/06/2020,71.591,24342800,70.9195,71.898,70.9
05/06/2020,71.9195,34704880,70.6585,72.2525,70.3
10/06/2020,73.2925,30503060,72.977,73.713,72.8135
26/06/2020,67.995,85353960,71.5695,71.6725,67.5995
30/06/2020,70.6805,40847620,69.522,70.9325,69.198
02/07/2020,73.235,37189600,72.347,74.1475,72.321
07/07/2020,74.259,29163440,74.5,75.84,74.1775
10/07/2020,77.087,37134080,75.3075,77.1915,74.827
14/07/2020,76.029,31700320,74.5155,76.1475,74.175
15/07/2020,75.682,32213680,76.1565,76.7665,74.9
16/07/2020,75.9,30386900,75,75.9345,74.3155
23/07/2020,75.784,32552680,78.3485,78.5935,75.3696
28/07/2020,75.017,34043480,76.259,76.324,74.883
29/07/2020,76.101,22130680,75.316,76.5626,75.0665
30/07/2020,76.5725,33427920,74.85,76.8935,74.611
11/08/2020,74.016,29087300,74.622,75.5,73.9
18/08/2020,77.93,40541720,76.309,78.1235,76.1855
25/08/2020,80.411,42641680,79.1035,80.581,79.1035
28/08/2020,82.2205,29995640,81.6745,82.3585,81.5375
31/08/2020,81.709,36468120,82.3945,82.3983,81.5155
02/09/2020,86.414,50223600,83.6888,86.659,83.3165
03/09/2020,82.092,62155260,85.4857,85.4857,80.753
09/09/2020,77.848,35494080,77.8765,78.45,76.8026
16/09/2020,76.045,26245980,77.777,78.1,75.991
17/09/2020,74.7765,37595020,74.8,75.4149,73.5
18/09/2020,72.9995,62077640,74.9005,75.1502,71.8565
23/09/2020,70.7605,33147000,72.939,73.048,70.385
24/09/2020,71.4145,29004320,70.5515,72.1854,70.4925
28/09/2020,73.226,40158820,73.7105,73.84,72.4651
29/09/2020,73.4665,19582040,73.5195,73.8332,72.9403
02/10/2020,72.921,25681420,73.1015,74.16,72.546
05/10/2020,74.301,22265140,73.3105,74.4105,73.2135
08/10/2020,74.2965,23756620,73.2545,74.5,73.2545
12/10/2020,78.4575,49651200,77.15,79.693,76.6285
15/10/2020,77.9565,30816340,77.3575,78.7553,77.2515
20/10/2020,77.7965,44851440,76.3525,78.875,76.2835
21/10/2020,79.6655,51366900,78.6665,80.9365,78.5815
22/10/2020,80.7665,28680840,79.6525,81.0995,79.25
23/10/2020,82.05,27516880,81.3035,82.118,81.0255
26/10/2020,79.5225,37065080,81.2505,81.912,78.825
27/10/2020,80.213,24580040,79.7835,80.3423,79.139
28/10/2020,75.831,36679180,77.987,78.0675,75.731
29/10/2020,78.362,40061280,76.118,79.6855,76.112
30/10/2020,81.0505,86617240,83.6055,84.35,80.223
02/11/2020,81.3015,50708920,81.408,83.0385,80.8015
03/11/2020,82.5105,33233060,81.589,83.085,80.831
06/11/2020,88.0875,33224500,87.6975,88.6215,87.0175
09/11/2020,88.15,45365400,89.545,90.903,88.001
12/11/2020,87.492,24975080,87.3815,88.4135,87.28
13/11/2020,88.851,30011480,87.8815,89.052,87.2275
17/11/2020,88.5075,22942280,88.847,89.25,88.35
19/11/2020,88.196,24998200,86.919,88.4795,86.8503
23/11/2020,86.743,43239500,87.48,87.695,85.886
24/11/2020,88.444,31594060,86.525,88.58,86.3845
25/11/2020,88.5715,20922440,88.6445,88.927,87.827
01/12/2020,89.905,34780900,88.7185,91.2415,88.4685
07/12/2020,90.974,26418920,90.95,91.6185,90.289
09/12/2020,89.2065,30151160,90.6005,91.7135,88.3905
11/12/2020,89.0885,24413020,88.153,89.2225,88
15/12/2020,88.3885,29645220,88.221,88.571,87.4975
16/12/2020,88.15,30270860,88.644,88.65,87.804
22/12/2020,86.175,18766920,86.7215,86.8702,85.6288
24/12/2020,86.9425,6935060,86.75,87.3,86.4555
28/12/2020,88.8045,27860660,87.5818,89.5364,87.3168
30/12/2020,86.976,26122600,88.1005,88.2548,86.28
05/01/2021,87.046,22906940,86.25,87.3835,85.9008
