Date,Close,Volume,Open,High,Low,avg,7ma,Average Score,7 MA
12/05/2017,48.07,50183880,48.01,48.24,47.92,0.994,0.984,0.994,0.984
28/08/2017,47.3,51529120,47.33,47.65,47.11,1,0.985,1,0.985
05/10/2017,49.04,64401600,48.5,49.08,48.48,0.997,0.987,0.997,0.987
27/11/2017,59.79,134367700,60.13,60.67,59.56,0.996,0.987,0.996,0.987
28/11/2017,59.68,90961280,60.24,60.27,59.43,0.999,0.987,0.999,0.987
01/02/2018,69.5,228450400,70.13,72.95,66.04,0.996,0.997,0.996,0.997
14/03/2018,79.55,66024800,80.05,80.46,79.3,0.983,0.995,0.983,0.995
16/03/2018,78.58,105836960,79.17,79.47,78.38,0.991,0.995,0.991,0.995
04/04/2018,70.53,138849700,67.91,70.77,67.64,0.999,0.994,0.999,0.994
16/04/2018,72.08,55476720,72.25,72.35,71.37,0.997,0.994,0.997,0.994
12/07/2018,89.83,90225480,88.23,89.9,88.11,0.973,0.991,0.973,0.991
30/07/2018,88.96,130854240,91.37,91.48,88.3,0.998,0.991,0.998,0.991
31/07/2018,88.87,114328980,89.32,90.09,86.97,0.997,0.991,0.997,0.991
15/08/2018,94.13,153162160,95.48,95.81,93.49,0.994,0.993,0.994,0.993
27/08/2018,96.38,70929920,95.75,100.99,95.61,0.999,0.994,0.999,0.994
30/10/2018,76.52,247902600,74.31,77.05,73.82,0.996,0.993,0.996,0.993
13/11/2018,81.56,118029980,82.46,83.85,80.69,0.98,0.991,0.98,0.991
07/12/2018,81.46,150178780,85.25,85.95,81.27,0.997,0.994,0.997,0.994
05/02/2019,82.94,88872640,82.17,83.26,82.13,0.982,0.992,0.982,0.992
27/02/2019,82.05,62822920,81.41,82.09,80.76,0.997,0.992,0.997,0.992
11/03/2019,83.53,75945960,81.31,83.61,81.3,0.994,0.992,0.994,0.992
12/03/2019,83.66,71259860,83.45,84.21,83.05,1,0.992,1,0.992
15/04/2019,92.24,74213060,92.1,92.66,91.61,0.995,0.992,0.995,0.992
16/07/2019,100.5,52363960,100.53,101.32,100.06,0.99,0.994,0.99,0.994
06/08/2019,89.39,101405160,89.61,89.69,87.67,0.95,0.987,0.95,0.987
28/08/2019,88.21,48437860,87.75,89.32,84.03,0.998,0.989,0.998,0.989
20/12/2019,89.33,103049200,89.98,90.15,89.12,0.998,0.989,0.998,0.989
27/03/2020,95.01,107757940,96.54,96.99,95,0.99,0.989,0.99,0.989
30/03/2020,98.2,122521740,96.14,98.68,95.62,0.992,0.988,0.992,0.988
09/04/2020,102.14,93112340,102.22,102.65,100.88,0.972,0.984,0.972,0.984
16/04/2020,120.41,240764000,117.3,123.05,116.75,0.998,0.985,0.998,0.985
20/04/2020,119.68,115413880,119.5,122.25,119.3,0.998,0.992,0.998,0.992
22/04/2020,118.17,84365900,118.45,119.7,117.55,0.983,0.99,0.983,0.99
23/04/2020,119.97,101331040,120,121.21,119.1,0.504,0.92,0.504,0.92
24/04/2020,120.51,76635940,120.85,121.02,119.1,0.998,0.921,0.998,0.921
27/04/2020,118.8,112912900,122.16,124.71,121.8,0.866,0.615,0.866,0.615
28/04/2020,115.7,105388920,118.61,118.68,115.3,0.943,0.607,0.943,0.607
04/05/2020,115.8,97318520,112.82,116.35,112.82,0.131,0.486,0.131,0.486
06/05/2020,117.56,62356280,116.47,117.87,116,0.994,0.556,0.994,0.556
07/05/2020,118.38,67928220,118.74,118.8,117.16,1,0.556,1,0.556
12/05/2020,117.85,61498320,120.59,120.95,117.75,0.997,0.562,0.997,0.562
15/05/2020,120.49,84699020,118.43,120.55,117.82,0.984,0.845,0.984,0.845
20/05/2020,124.9,79962860,123.89,125,123.36,0.706,0.8,0.706,0.8
