Date,Close,Volume,Open,High,Low,Avg,7MA
29/09/2015,98.35,17392530,99.63,100.63,96.85,0.993,0
01/03/2017,142.65,4167969,142.84,143.26,142.1,0.981,0
02/03/2017,139.53,6114580,142.15,142.7,139.09,0.543,0
06/03/2017,141.94,7111248,141,142.84,140.54,-0.784,0
11/03/2017,#N/A,#N/A,#N/A,#N/A,#N/A,0.798,0
14/03/2017,143.19,4656787,142.95,143.31,141.7,0.778,0
22/03/2017,142.65,6474086,142.545,143.8,140.76,0.543,0.55
24/03/2017,142.02,3545875,142.36,142.8,141.58,-0.626,0.319
03/04/2017,146.92,4604731,146.7,148.005,145.74,0.778,0.29
13/04/2017,142.92,3676127,144.25,144.55,142.76,0.46,0.278
14/04/2017,#N/A,#N/A,#N/A,#N/A,#N/A,-0.805,0.275
22/04/2017,#N/A,#N/A,#N/A,#N/A,#N/A,0.853,0.283
24/04/2017,143.83,4792932,143.61,144.5,143.4,0.543,0.249
27/04/2017,153.08,7706060,150.6,153.49,149.3,-0.083,0.16
11/10/2017,194.95,6438060,195.57,196.2199,193.81,0.997,0.392
28/11/2017,199.18,6975416,195.34,199.68,194.01,0.998,0.423
02/02/2018,267.43,9030600,263,270.62,262.71,0.996,0.5
16/03/2018,318.45,7315268,321.42,324.11,318.37,0.991,0.756
17/04/2018,336.06,33811180,329.66,338.62,323.77,0.995,0.777
14/06/2018,392.87,14549540,384.27,395.03,383.25,0.995,0.841
12/07/2018,413.5,12703940,415.155,416.79,407.8,0.973,0.992
22/10/2018,329.54,17081350,333.1,335.8,320.34,0.995,0.992
29/11/2018,288.75,15016520,282.32,290.49,275.5,0.997,0.992
21/02/2019,356.97,6217185,360.03,362.85,353.88,0.997,0.992
07/03/2019,352.6,6144401,360.16,362.86,350.5,0.997,0.993
08/05/2019,364.37,6571957,367.92,369,361.36,0.997,0.993
24/07/2019,317.94,11961820,310.51,319.99,307.25,-0.883,0.725
26/07/2019,335.78,10847500,328.79,336,327.5,0.974,0.725
29/07/2019,332.7,5782817,335.98,336.4,328.77,-0.883,0.457
01/08/2019,319.5,6563156,324.25,328.58,318.735,-0.073,0.304
02/08/2019,318.83,6280343,317.49,319.41,311.8,0.705,0.262
05/08/2019,307.63,8692485,310.96,313.4179,304.677,-0.883,-0.007
06/08/2019,310.1,6179090,310.58,311.88,305.3,0.069,-0.139
07/08/2019,304.29,9322433,302.56,305,296.8126,0,-0.013
09/08/2019,308.93,5349059,313.74,316.64,305.68,-0.02,-0.155
12/08/2019,310.83,6531722,305.46,312.89,303.24,0.033,-0.024
16/08/2019,302.8,7090757,298.86,303.55,296.27,-0.973,-0.153
19/08/2019,309.38,4951733,306.25,311.75,304.75,-0.883,-0.38
20/08/2019,298.99,7352162,304.57,305,297.6811,0.642,-0.162
21/08/2019,297.81,5689746,301.61,302.88,296.2,0.974,-0.032
23/08/2019,291.44,6331189,295,299.01,290.32,-0.973,-0.171
26/08/2019,294.98,4696982,295.24,296.95,292.5,-0.883,-0.295
27/08/2019,291.03,6314559,294.54,296.77,287.1968,0.937,-0.166
28/08/2019,291.77,3958043,289.47,292.82,287.75,0.494,0.044
30/08/2019,293.75,4447990,298.78,298.94,290.85,0.004,0.171
01/09/2019,#N/A,#N/A,#N/A,#N/A,#N/A,0.947,0.214
02/09/2019,#N/A,#N/A,#N/A,#N/A,#N/A,-0.883,-0.051
04/09/2019,291.52,4653665,291.25,292.38,286.51,-0.01,0.087
05/09/2019,293.25,8972356,285.32,293.97,282.785,0.66,0.307
07/09/2019,#N/A,#N/A,#N/A,#N/A,#N/A,0.921,0.305
09/09/2019,294.34,8232744,294.81,301.55,290.6,-0.504,0.162
10/09/2019,287.99,12320250,291.16,297.17,282.6629,0.974,0.301
12/09/2019,288.86,5010927,288.1,292.73,286.6,0.941,0.3
