Date,Close,Volume,Open,High,Low,Avg,7MA
14/07/2015,45.62,22865770,45.45,45.96,45.31,0.998,0
28/07/2015,45.34,34309080,45.58,45.639,44.79,0.999,0
03/08/2015,46.81,23919340,46.98,47,46.45,0.999,0
12/08/2015,46.74,30184710,46.19,46.9,45.705,0.992,0
29/08/2015,#N/A,#N/A,#N/A,#N/A,#N/A,0.993,0
31/08/2015,43.52,34434480,43.56,43.93,43.1,0.997,0
30/09/2015,44.26,34944070,43.88,44.3,43.66,0.997,0.996
05/10/2015,46.63,33546080,45.745,46.89,45.7,0.996,0.996
13/10/2015,46.89,19985330,46.56,47.1299,46.56,1,0.996
14/10/2015,46.68,24693460,46.65,47.1,46.53,-0.002,0.853
15/10/2015,47.01,27155510,47.01,47.03,46.53,0.998,0.854
03/11/2015,54.15,36584100,52.93,54.39,52.9,0.999,0.855
12/11/2015,53.32,35304350,53.48,53.9791,53.19,0.996,0.855
20/11/2015,54.19,37106670,54.25,54.3,53.265,0.999,0.855
30/11/2015,54.35,54403560,54.54,54.96,53.9999,0.999,0.856
10/12/2015,55.27,31771820,55.39,55.655,55.01,0.997,0.855
31/12/2015,55.48,27329930,56.04,56.19,55.42,0.995,0.998
12/01/2016,52.78,36061760,52.76,53.1,52.06,0.987,0.996
25/01/2016,51.79,34654900,51.94,52.65,51.65,0.992,0.995
03/02/2016,52.16,57526850,53.25,53.39,51.26,0.987,0.994
10/02/2016,49.71,38220450,49.89,50.39,49.52,0.997,0.993
15/02/2016,#N/A,#N/A,#N/A,#N/A,#N/A,0.999,0.993
07/03/2016,51.03,38426220,51.56,51.8,50.58,0.993,0.993
08/03/2016,51.65,33822940,50.8,52.13,50.595,0.992,0.992
16/03/2016,54.35,31679130,53.45,54.6,53.4,0.999,0.994
24/03/2016,54.21,18967510,53.84,54.33,53.73,0.987,0.993
29/03/2016,54.71,23913950,53.66,54.86,53.45,0.998,0.995
04/04/2016,55.43,18908300,55.43,55.66,55,0.999,0.995
11/05/2016,51.05,24026140,51.13,51.78,51,0.999,0.995
08/06/2016,52.04,21127190,52.02,52.44,51.87,0.993,0.995
15/06/2016,49.69,33718830,49.78,50.12,49.69,0.998,0.996
20/06/2016,50.07,35597220,50.64,50.83,50.03,0.996,0.996
25/07/2016,56.73,24313330,56.47,56.74,56.255,0.998,0.997
23/08/2016,57.89,18722560,57.9,58.18,57.85,0.996,0.997
