Date,Close,Volume,Open,High,Low,Avg,7MA
16/07/2015,17.7787,23973783,17.6147,17.8133,17.544,0.989,0
22/07/2015,17.858,46459867,17.418,17.9627,17.3907,0.318,0
05/08/2015,18.0087,89538630,17.572,18.0667,17.36,0.318,0
13/08/2015,16.1673,70249915,15.9907,16.432,15.9413,0.989,0
31/08/2015,16.604,70325560,16.3747,16.9967,16.3673,0.898,0
02/10/2015,16.5047,66114192,15.7067,16.5133,15.662,0.796,0
19/10/2015,15.2067,37602521,15.1,15.41,14.996,0.318,0.661
03/11/2015,13.89,120976305,14.2567,14.296,13.85,0.49,0.59
25/01/2016,13.092,40431100,13.3373,13.5713,13.0587,0,0.538
10/02/2016,9.578,151570274,10.0333,10.3313,9.4493,0,0.396
04/04/2016,16.466,200717300,16.608,16.808,16.2427,0,0.268
20/04/2016,16.6647,77885106,16.4173,16.9107,16.1,0.318,0.2
04/05/2016,14.8373,128249996,15.3527,15.6307,14.6933,0,0.154
23/09/2016,13.83,43561853,13.7327,14.012,13.7113,0.296,0.148
07/10/2016,13.1073,52342174,13.4,13.4213,13.0533,0.318,0.281
26/10/2016,13.4827,80203355,13.4,13.546,13.34,0.318,0.326
01/11/2016,12.7193,105355057,13.2027,13.2333,12.5403,0.318,0.326
15/11/2016,12.2513,58496116,12.1853,12.4287,12.1367,0.911,0.456
03/01/2017,14.466,88522366,14.324,14.6887,14.064,-0.297,0.354
02/02/2017,16.77,37481966,16.556,16.828,16.514,0.318,0.357
22/02/2017,18.234,128067101,18.6873,18.8967,18.1733,0.318,0.315
06/03/2017,16.7473,50303990,16.5273,16.78,16.5007,0.579,0.352
15/03/2017,17.0487,78500436,17.1333,17.4,16.9513,0.991,0.448
13/04/2017,20.2667,139135160,19.78,20.4927,19.6867,0.318,0.364
03/05/2017,20.7347,103188833,21.178,21.4353,20.6967,0,0.406
03/07/2017,23.508,94580968,24.6827,24.7567,23.4333,0.935,0.494
07/07/2017,20.8813,211949144,20.9,21.1333,20.492,0.923,0.581
11/07/2017,21.8147,172901314,21.0667,21.8187,20.9533,0.318,0.543
02/08/2017,21.726,179135160,21.2627,21.808,20.748,0.318,0.447
07/08/2017,23.678,94639918,23.8233,23.9653,23.5167,0.949,0.537
11/08/2017,23.858,65363397,23.798,24.084,23.5747,0.936,0.626
02/10/2017,22.7687,78413166,22.8347,22.9133,22.3673,0.863,0.749
05/10/2017,23.6887,62518664,23.7333,23.829,23.4233,0.997,0.758
11/10/2017,23.64,67420961,23.5927,23.84,23.41,0.713,0.728
19/10/2017,23.454,75835687,23.704,23.8098,23.2133,0.318,0.728
23/10/2017,22.468,86093927,23.3253,23.33,22.4167,-0.7,0.582
25/10/2017,21.7227,128754221,22.4467,22.5,21.5707,-0.915,0.316
27/10/2017,21.3913,104525423,21.3167,21.6393,21.1107,-0.975,0.043
31/10/2017,22.102,84750888,21.3487,22.13,21.3453,-0.949,-0.493
01/11/2017,21.4053,123637243,22.15,22.1739,21.3507,0.318,-0.549
03/11/2017,20.406,133288928,19.9667,20.4167,19.6753,0.934,-0.461
07/11/2017,20.4033,79272620,20.068,20.4333,20.002,-0.744,-0.467
20/11/2017,20.5827,123627253,20.9193,21.0333,20.3167,-0.915,-0.467
21/11/2017,21.1873,108845661,20.724,21.2153,20.5807,-0.864,-0.452
27/11/2017,21.1207,68066651,20.8833,21.156,20.634,-0.949,-0.453
29/11/2017,20.5027,131361879,21.1533,21.2,20.082,0.028,-0.313
03/01/2018,21.15,66577767,21.4,21.6833,21.0367,0.994,-0.217
23/01/2018,23.5193,81714289,24,24.0333,23.4,1,-0.207
05/02/2018,22.2087,66617457,22.5313,22.9647,22.2,0.997,0.042
07/02/2018,23,100945180,22.5993,23.0667,22.3773,0.318,0.218
03/04/2018,17.8353,282444609,17.988,18.2233,16.966,0.993,0.483
16/04/2018,19.414,94342408,19.9333,19.9773,19.2673,0.995,0.761
19/04/2018,20.0053,91256954,19.4053,20.0673,19.2367,0.318,0.802
02/05/2018,20.0767,125192577,19.9047,20.4567,19.8523,0.318,0.706
02/07/2018,22.338,280990510,24.0047,24.3187,21.99,0.986,0.704
18/07/2018,21.59,84151233,21.6667,21.7,21.0833,0.318,0.607
01/08/2018,20.056,131521419,19.866,20.2,19.5333,0.318,0.607
08/08/2018,24.6893,368031116,24.606,25.5093,24.4747,0.599,0.55
14/08/2018,23.176,104227613,23.8967,23.9466,23.14,0.941,0.623
15/08/2018,22.5793,136095427,22.7937,22.966,22.1427,0.983,0.718
16/08/2018,22.3633,90680835,22.6607,22.8187,22.2547,0.477,0.645
20/08/2018,20.5627,260706320,19.4469,20.5667,19.2133,0.857,0.722
22/08/2018,21.4427,89037750,21.3913,21.592,20.978,-0.994,0.535
23/08/2018,21.34,77080236,21.276,21.8213,21.2067,-0.992,0.307
24/08/2018,21.5213,53890983,21.38,21.59,21.2933,0.962,0.319
27/08/2018,21.2847,195939652,21.2,21.4957,20.5873,0.83,0.089
28/08/2018,20.7907,114591738,21.2273,21.2587,20.746,-0.89,-0.161
29/08/2018,20.334,111158014,20.6847,20.79,20.246,0.137,0.001
30/08/2018,20.21,108159321,20.1507,20.3067,19.848,-0.936,0.009
31/08/2018,20.1107,80505680,20.1333,20.3539,19.9067,0.968,0.01
04/09/2018,19.2633,124568503,19.796,19.8793,19.2,-0.314,-0.156
05/09/2018,18.716,115610072,19.0033,19.1187,18.4787,-0.945,-0.41
06/09/2018,18.73,112091284,18.9867,19.4113,18.592,0.946,-0.148
07/09/2018,17.5493,336634482,17.34,17.89,16.817,0.115,-0.151
11/09/2018,18.6293,137415846,18.6313,18.8,18.2367,0.273,-0.06
12/09/2018,19.3693,150032175,18.7627,19.5,18.5764,-0.978,-0.073
13/09/2018,19.2973,94999168,19.2013,19.6667,19.012,-0.04,-0.034
17/09/2018,19.656,102993069,19.336,20.058,19.2087,-0.308,-0.219
18/09/2018,18.9973,247414076,19.7793,20.176,18.3667,0.066,-0.226
20/09/2018,19.8887,109987100,20.2373,20.3987,19.5553,-0.987,-0.423
21/09/2018,19.94,75577417,19.8467,20.0387,19.6913,0.956,-0.325
24/09/2018,19.9787,72515724,19.8987,20.2,19.572,0.44,-0.244
26/09/2018,20.6387,117537886,20.1273,20.926,20.074,-0.119,-0.12
27/09/2018,20.5013,110066345,20.86,20.9973,20.4607,0.868,0.048
28/09/2018,17.6513,503959098,18.0173,18.5333,17.3703,0.101,0.053
02/10/2018,20.068,175495262,20.93,21.1227,19.9433,0.993,0.057
03/10/2018,19.6533,119734020,20.222,20.3067,19.438,0.44,0.247
05/10/2018,17.4633,268510516,18.31,18.3253,17.3333,-0.978,0.044
08/10/2018,16.704,200567600,17.6347,17.8507,16.6,-0.508,-0.036
09/10/2018,17.52,180566610,17.0167,17.7847,16.8867,-0.89,-0.178
23/10/2018,19.6093,284343008,17.5913,19.862,17.4733,0.566,0.045
24/10/2018,19.2333,290256605,20.07,20.296,19.0487,0.318,-0.051
30/11/2018,23.3653,84316518,22.7887,23.44,22.551,0.994,0.028
02/01/2019,20.6747,174168963,20.4067,21.0087,19.92,0.983,0.308
30/01/2019,20.5847,158910521,20.03,20.6,19.8993,0.318,0.372
04/02/2019,20.8593,110161085,20.8653,21.02,20.1253,0.939,0.634
