Date,Close,Volume,Open,High,Low
29/04/2020,146.48,22033320,147.98,151,143.38
30/04/2020,135.17,16682260,139.99,143.8,133.6801
01/05/2020,138.56,13806990,136,141.63,132.67
04/05/2020,143.44,9184748,140.77,144.98,140.4495
05/05/2020,144.82,7376349,144.43,148.44,140.86
06/05/2020,149.59,6031085,145.47,150.74,144.09
07/05/2020,157.8,8388863,154.84,162,154.04
08/05/2020,155.4,7079101,160,161.16,152.7046
11/05/2020,166.48,10142710,159.43,168,158
12/05/2020,161.04,7102604,168,168.23,160.05
13/05/2020,167.14,11081300,163.61,171.5,159.17
14/05/2020,167.91,6730504,168.26,170.8,162.89
15/05/2020,174.83,8540460,166.75,175.44,166.56
18/05/2020,164.69,9636750,170.03,173.44,162.6418
19/05/2020,173.68,8485526,167,173.86,166.21
20/05/2020,175.48,6910014,173.53,175.64,170.53
21/05/2020,172.03,5525274,175.96,177.8,168.36
22/05/2020,171.06,4302150,171.86,175.89,170.2
26/05/2020,164,6689691,169.1,169.69,163.12
27/05/2020,161.97,10076710,158.01,162.22,149.16
28/05/2020,163.55,6393691,159.23,169.4,159.2
29/05/2020,179.48,15311280,168,179.99,167.86
01/06/2020,204.15,24394390,183.18,205.87,183
02/06/2020,208.08,36853400,210.25,212.69,197.32
03/06/2020,223.87,32390120,211.7,224.46,202.32
04/06/2020,210.35,20212600,221,223,207.6
05/06/2020,207.6,16298730,200.11,208.94,196.1
08/06/2020,209.83,10457500,204.35,211.44,198.66
09/06/2020,205.43,7521808,209.83,210.59,202.93
10/06/2020,221.02,12241110,208.89,221.53,208.26
11/06/2020,222.07,17615750,219.18,232,218.5
12/06/2020,219.52,8780413,224.79,231.45,216.75
15/06/2020,239.02,13959080,227.84,239.59,226.38
16/06/2020,242.56,11333310,235.99,243.5,231.8206
17/06/2020,236.76,11704330,243.18,243.88,235.12
18/06/2020,241.57,9340944,240.39,242.61,238.22
19/06/2020,243.48,10077540,241.64,243.57,238.7035
22/06/2020,251.27,11093700,247.465,254.9,247.29
23/06/2020,252.81,8791498,251.26,254.775,247.57
24/06/2020,255.9,9862774,254.5,258.75,248.6
25/06/2020,259.51,7490491,258.23,260.29,252.6601
26/06/2020,256.8,17142900,260.52,261.62,250.36
29/06/2020,248.56,8436437,254.97,255.9,243.59
30/06/2020,253.54,6305519,249.87,256.83,248.35
01/07/2020,259.13,6803313,251.35,261,247.21
02/07/2020,261.74,5629042,261,263.8,258
06/07/2020,261,12250170,265,275.08,259.32
07/07/2020,262.1,7819728,261.55,266.45,258.1
08/07/2020,266.32,6012921,263.8,268.5281,261.29
09/07/2020,269.52,5396039,269.01,272.7,264.22
10/07/2020,275.87,6354790,271.77,278.16,268.64
13/07/2020,260.3,9293047,278.63,281,256.3376
14/07/2020,260.01,8713138,260.96,265.33,240.45
15/07/2020,256.22,6073639,253.7,257.5,248.12
16/07/2020,248.54,5420142,250.39,253,243.43
17/07/2020,246.54,4626550,247.17,250.9368,241.29
20/07/2020,268.58,9784919,246.487,271.35,245.99
21/07/2020,260.44,4761971,268.75,269.75,258.2
22/07/2020,261.18,4581585,261.95,265.4,255.81
23/07/2020,251.5,4589358,260.84,264.9,249.21
24/07/2020,246.56,4303198,246.2,250.21,237.2
27/07/2020,252.33,3328563,249.28,252.97,246.22
28/07/2020,252.18,3366216,252.7,258.91,251.32
29/07/2020,252.39,3333748,255.55,259.93,251.15
30/07/2020,250,7926051,250.3135,256.3263,239.32
31/07/2020,253.91,3381064,253.5,255.2,248.3601
03/08/2020,268,6787878,256.83,271.1,256.11
04/08/2020,267.34,3087253,268,269.19,262
05/08/2020,272.9,4517659,266.29,275.0939,262.52
06/08/2020,268.25,3602884,273.87,274.48,263.91
07/08/2020,258.73,5024681,266.45,268,252.79
10/08/2020,250,5714036,259.14,261.44,244.54
11/08/2020,231.04,9730520,245.48,245.48,230
