Date,Close,Volume,Open,High,Low,Avg,7MA
09/03/2017,41.934,25227860,41.8,42.1,41.7105,0.997,0
01/12/2017,50.5085,38179240,50.79,51.1245,50.101,0.994,0
20/12/2017,53.2475,25365700,53.589,53.669,53.076,0.995,0
21/12/2017,53.1815,19730960,53.2475,53.4665,53.0897,0.557,0
15/02/2018,54.476,35711040,53.9535,54.574,53.217,0.994,0
26/04/2018,52.002,39688960,51.4755,52.399,50.9095,0.995,0
03/08/2018,61.1855,21450480,61.481,61.5,60.753,0.995,0.932
25/09/2018,59.2325,18751540,58.8075,59.344,58.4,0.983,0.93
10/10/2018,54.061,51499700,56.554,56.6085,54.0565,0.997,0.931
05/11/2018,52.0045,48734840,52.75,52.9235,51.062,0.999,0.931
04/12/2018,52.541,45564000,55.156,55.221,52.499,0.992,0.994
14/01/2019,52.2345,22548340,52.346,52.5765,52.0628,0.995,0.993
03/05/2019,59.27,39613060,58.6825,59.34,58.45,0.996,0.993
25/03/2020,55.1245,81630560,56.3235,57.445,54.3005,0.996,0.995
30/03/2020,57.341,51481220,56.252,57.5815,54.824,0.992,0.994
03/04/2020,54.894,46268000,55.9508,56.177,53.9905,0.959,0.988
22/04/2020,63.1605,41862800,62.277,64.2807,62.1,0.37,0.9
24/04/2020,63.9655,32807880,63.0585,64.02,62.4725,0.732,0.863
27/04/2020,63.794,32011260,64.8,64.8075,63.45,0.809,0.837
28/04/2020,61.6835,59026180,64.3965,64.4025,61.61,0.98,0.834
29/04/2020,67.074,75872480,67.073,67.9995,66.267,0.997,0.835
30/04/2020,67.433,53378120,66.244,67.641,66.1245,0.994,0.84
05/05/2020,67.5555,33030660,66.896,68.697,66.873,0.982,0.928
06/05/2020,67.365,24308460,68.0845,68.556,67.3645,0.997,0.965
07/05/2020,68.628,27995180,68.297,68.88,67.7635,1,0.966
12/05/2020,68.787,27812000,70.356,70.75,68.7385,0.997,0.995
13/05/2020,67.4665,36251700,68.8525,69.2741,66.42,0.308,0.896
14/05/2020,67.8065,32061540,66.751,67.871,66.1955,0.994,0.896
18/05/2020,69.197,36479280,68.0875,69.6163,67.7125,0.998,0.868
19/05/2020,68.6743,25612980,69.3499,69.6,68.6743,0.998,0.868
